id,text,is_hate
1ca66ceb53805380,O óbvio precisa ser dito 😑,False
af7f2ce64d076789,É isso! ❤️👏🏾👏🏾👏🏾,False
e8a5c7888f01f0e5,Dá-lhe galera! Colocar as cartas na mesa e ter que explicar tim-tim por tim-tim pra essa galera oportunista que copia conteúdo ótimo e didático para se fazer em cima. Vida longa ao podcast e vida longa à nossa jornada!,False
e1df31f2d7fd414e,"Olhar esse vídeo e pensar ""caralho....eu não tô sozinha""....da uma sensação de conforto e tranquilidade... obrigada por isso gente♥️♥️",False
1f7f1d3471bd2fe3,Kid,False
0e6f8df0a3707d1c,Porta do inferno abriu,True
b584381476e6cd19,❤️❤️,False
901fde60af901ad5,Viva o amor 🩷❤️🖤💛🤍🧡,False
ebcd096e4791436f,"Já quero muito ouvir, amei!",False
e8427b0d897a16e7,Eu amey!!!!! ❤️❤️❤️,False
c901506e83473da4,Eu era de um casal unicórnio.. mas levei chifre de verdade💔🥲,False
58d35f90dc8db7da,❤️❤️,False
ca0e6d0bba8e1eab,aaaaaah q delícia!!!!! ❤️😍,False
e531a1acb2e14dec,Viva a diversidade ❤️,False
1aaca9ccb451e24d,Lindas! 😍❤️,False
19aec63e0a22fcf1,Adoreiiii,False
08656f7f2bae7182,Episódio das Unicornias!! ❤️❤️❤️,False
10a0efa704fcc220,Episódio das Unicornias!! ❤️❤️❤️,False
48ecdbc456361b19,Lindaaas!! 💚,False
76bdbc22063b8a22,O amor mão tem rótulos!!!❤️❤️,False
ddc4c0e335955417,Aaaaah 😍,False
edfc3f93b1179997,Me identifico muito com o assunto tratado neste este episódio.❤️,False
28c9acf7f418156f,"O episódio que eu mais ri fazendo, foi muito bom!! 😍",False
174d647287a04ec6,😂😂😂😂😂😂😂😂😂😂😂😂😂😂,True
d4e8af0f8d9e4ce8,"Está na hora de TODOS começarem a RESPEITAR a vivência pessoal de cada pessoa trans. Eu sou uma mulher trans que também sou 100% feliz, satisfeita, completa e realizada com a minha genital de nascença, se isso acontece com muitas travestis pq tá tá dificuldade em aceitar que homens trans também podem se sentir confortáveis e amarem as suas genitais de nascença? Gente, pelo amor de Deus, não dá pra tentar abrir a mente para algumas coisas e se manter preconceituosos para outros, a empatia e o respeito não pode ser seletivos, se a pessoa não está ofendendo o seu direito de ser e existir, então não faça isso com ele também. Pessoas trans existem SIM e nem sempre elas desejam mudar de genital, cada um tem uma vivência pessoal e essa vivência DEVE SER RESPEITADA.",False
74ecc3c60488d98b,Concordo! Chega de transfobia!!!!!,False
6f9bbbe2a156cc73,"Se aceitem etc, cria configurações dentro da própria comunidade agora falar criança trans daí já perde a moral",True
037dfc85c6ef7411,Boyceta poder ❤️🔥,False
5cd8d0ed1192e9fd,No fim é sobre isso: aceitar o corpo e subverter a norma que fixa gênero a genitálias.,False
ae04379b193b2e71,[MENTION],False
ab1b991ee22eb333,Meu bar sapatão favorito em SP,False
5644a4fe575ced9e,"Mente vazia, oficina de Esquerdista",True
ebf1da7be7cdc8cc,"Pois eu sou sapatão, desfem, com muito orgulho.",False
b43096877efd57af,Eu quero,False
92a67e4fa1800216,"Fiquei pensando na história da mulher que se sentiu ofendida… entendo o desconforto que a perspectiva dela causa pra quem está ativamente envolvido com o processo de ressignificação, mas Até aqui, ela só viveu a palavra como ofensa e não como empoderamento… acho que entender o estranhamento dela, acolher e abrir o diálogo também nos ajuda nessa reconstrução",False
22a61fd479dbcfcb,[MENTION],False
71ddc17549431d7f,🔥🔥o bar perfeito existe,False
2b790a8dba318695,Eu quero,False
9a7403b037f7af59,Eu quero,False
60738edf6db40670,"Cabe todo Mundo !!!! 🏳️‍🌈 A sapatão , a “feminina” , o gay , a gay… a nova, a velha ! O que não cabe é o preconceito, seja ele homofóbico,…. etarista !",False
3876fd26d349be5d,Eu quero,False
83318a154b8ce376,Se tem cerveja gelada e copo americano para mim já tá ótimo,False
ec50068e9979e32d,"Achei problemático se sentir ofendida por se considerar feminina. Então as desfem seriam menos oq, nessa visão?",False
9c531f2744863941,Ressignificar para não se limitar,False
82d66c8316e883ef,Legal demais,False
aa8763ce16f9e3b0,Existe tb o Tomboy,False
c5f439379d7a031d,Prefiro ser entendida kkkkk,False
3354a5e762e79ada,Sou fã,False
